"","Sub_region","HAB","mod","jday","mDIC_mn","mDIC_se","mOmA_mn","mOmA_se","mPAR8_mn","mPAR8_se","mPARm_mn","mPARm_se","mTA_mn","mTA_se","mTemp_mn","mTemp_se","Perturbation"
"1764","UK","AL",2,99,2026.11273781632,6.65196209546933,3.94852909224335,0.0274135000178242,51.2767824919327,1.25069123543881,49.8215650475543,1.13832623524565,2381.39791393452,4.20535873252291,25.5091369565217,0.297421966419543,"Double Cover"
"1765","UK","AL",2,106,2011.60135672421,7.30867380290915,4.01246452978643,0.0215617578024876,55.4550429634426,0.457551954029539,53.5587824945864,0.252245890072936,2372.94827084567,5.63967011174645,26.105697826087,0.255643791876282,"Double Cover"
"1766","UK","AL",2,113,2011.60135672421,7.30867380290915,4.01246452978643,0.0215617578024876,55.4550429634426,0.457551954029539,53.5587824945864,0.252245890072936,2372.94827084567,5.63967011174645,26.105697826087,0.255643791876282,"Double Cover"
"1767","UK","AL",2,120,2011.60135672421,7.30867380290915,4.01246452978643,0.0215617578024876,55.4550429634426,0.457551954029539,53.5587824945864,0.252245890072936,2372.94827084567,5.63967011174645,26.105697826087,0.255643791876282,"Double Cover"
"1768","UK","AL",2,127,2009.69662897574,7.27721821712764,3.95725115142324,0.0319476598972659,57.0536664326986,0.441492020201097,53.2110835711161,0.253434831888163,2364.39405615724,7.02565756450157,26.9769770833333,0.250945803375341,"Double Cover"
"1769","UK","AL",2,134,2009.88028464254,7.31040042360871,3.95442836879217,0.0324084079676801,56.8263330459595,0.51011313583586,52.8958336512248,0.300305078626757,2363.41401444342,6.90436467422654,27.35751875,0.216280470141448,"Double Cover"
"1770","UK","AL",2,141,2009.88028464254,7.31040042360871,3.95442836879217,0.0324084079676801,56.8263330459595,0.51011313583586,52.8958336512248,0.300305078626757,2363.41401444342,6.90436467422654,27.35751875,0.216280470141448,"Double Cover"
"1771","UK","AL",2,148,2011.62062251066,7.14966150387699,3.95175370327506,0.0309005534709432,54.5775196838379,0.760448147794598,52.9303201293945,0.299096661095019,2362.64572030969,6.84814498168568,27.99498,0.326149708620648,"Double Cover"
"1772","UK","AL",2,155,2011.62062251066,7.14966150387699,3.95175370327506,0.0309005534709432,54.5775196838379,0.760448147794598,52.9303201293945,0.299096661095019,2362.64572030969,6.84814498168568,27.99498,0.326149708620648,"Double Cover"
"1773","UK","AL",2,162,2010.58641365167,8.13682472192205,3.91912475581512,0.0439612824236358,54.2854998111725,1.17306327208811,53.0087502002716,0.407125070279335,2355.71488605111,7.96954708243409,29.0242875,0.262746322028651,"Double Cover"
"1774","UK","AL",2,169,2010.58641365167,8.13682472192205,3.91912475581512,0.0439612824236358,54.2854998111725,1.17306327208811,53.0087502002716,0.407125070279335,2355.71488605111,7.96954708243409,29.0242875,0.262746322028651,"Double Cover"
"1775","UK","AL",2,176,2010.58641365167,8.13682472192205,3.91912475581512,0.0439612824236358,54.2854998111725,1.17306327208811,53.0087502002716,0.407125070279335,2355.71488605111,7.96954708243409,29.0242875,0.262746322028651,"Double Cover"
"1776","UK","AL",2,183,2024.75449231713,7.93939479332183,3.95449260147551,0.0263403875546568,51.7044165929159,0.837384033230197,53.4520835876465,0.376706463860911,2367.56723569199,4.99822250434202,30.1710166666667,0.238349217267397,"Double Cover"
"1777","UK","AL",2,190,2022.10359301653,6.20964571665661,3.97105800013424,0.0201887806185642,52.0441332499186,0.697146200718766,53.8562669118245,0.268033074346351,2366.45867149527,3.92442909087739,30.42486,0.146788766490546,"Double Cover"
"1778","UK","AL",2,197,2022.10359301653,6.20964571665661,3.97105800013424,0.0201887806185642,52.0441332499186,0.697146200718766,53.8562669118245,0.268033074346351,2366.45867149527,3.92442909087739,30.42486,0.146788766490546,"Double Cover"
"1779","UK","AL",2,204,2020.88458016297,6.32386629853992,3.9542137934276,0.0176942554023232,53.7337930613551,0.782933640445977,53.8697244052229,0.272258267826945,2362.71110123905,4.45098255905072,30.8504706896552,0.177086032943115,"Double Cover"
